,workclass
9700, Private
9701, Private
9702, State-gov
9703, ?
9704, Private
9705, Private
9706, Local-gov
9707, Local-gov
9708, ?
9709, Private
9710, Private
9711, Private
9712, ?
9713, Private
9714, Private
9715, Private
9716, Private
9717, Self-emp-not-inc
9718, Self-emp-not-inc
9719, Self-emp-not-inc
9720, Local-gov
9721, State-gov
9722, Private
9723, Private
9724, Private
9725, State-gov
9726, Private
9727, Private
9728, Private
9729, Private
9730, Self-emp-inc
9731, Private
9732, Private
9733, Private
9734, Private
9735, Private
9736, Private
9737, Private
9738, Private
9739, Self-emp-not-inc
9740, Private
9741, Private
9742, Private
9743, Self-emp-not-inc
9744, Private
9745, Private
9746, State-gov
9747, Private
9748, Private
9749, Local-gov
9750, Private
9751, Private
9752, Private
9753, Local-gov
9754, Self-emp-not-inc
9755, Private
9756, Private
9757, Private
9758, Private
9759, Private
9760, Private
9761, Local-gov
9762, Private
9763, Private
9764, Self-emp-not-inc
9765, Private
9766, Private
9767, Private
9768, Private
9769, Private
9770, Private
9771, Private
9772, Private
9773, Private
9774, Private
9775, Private
9776, Private
9777, Private
9778, ?
9779, Private
9780, Federal-gov
9781, Private
9782, Local-gov
9783, Private
9784, Private
9785, Self-emp-inc
9786, Private
9787, ?
9788, Self-emp-not-inc
9789, Private
9790, Private
9791, Private
9792, Private
9793, State-gov
9794, Private
9795, Local-gov
9796, Private
9797, Self-emp-inc
9798, Private
9799, Private
9800, Private
9801, Private
9802, Private
9803, Private
9804, Private
9805, Self-emp-inc
9806, Private
9807, Private
9808, Local-gov
9809, Private
9810, Private
9811, Private
9812, Local-gov
9813, Private
9814, Private
9815, Private
9816, Private
9817, Self-emp-not-inc
9818, Federal-gov
9819, Private
9820, Local-gov
9821, Self-emp-inc
9822, Private
9823, Local-gov
9824, Private
9825, Local-gov
9826, Private
9827, Local-gov
9828, State-gov
9829, Self-emp-inc
9830, Private
9831, Private
9832, Private
9833, Self-emp-not-inc
9834, Private
9835, Private
9836, State-gov
9837, Private
9838, Private
9839, Private
9840, Private
9841, Private
9842, Self-emp-inc
9843, Private
9844, Private
9845, Private
9846, Self-emp-not-inc
9847, Self-emp-not-inc
9848, Private
9849, Private
9850, Private
9851, Private
9852, Private
9853, Private
9854, Private
9855, Private
9856, Local-gov
9857, Self-emp-not-inc
9858, Private
9859, Self-emp-not-inc
9860, ?
9861, Self-emp-not-inc
9862, State-gov
9863, Federal-gov
9864, Private
9865, Private
9866, Private
9867, Private
9868, Private
9869, Private
9870, Private
9871, Federal-gov
9872, ?
9873, Local-gov
9874, Self-emp-inc
9875, Local-gov
9876, Private
9877, Private
9878, Local-gov
9879, Private
9880, Federal-gov
9881, Private
9882, Private
9883, Local-gov
9884, Self-emp-inc
9885, ?
9886, Private
9887, Private
9888, Private
9889, Private
9890, Private
9891, Private
9892, Private
9893, Private
9894, Local-gov
9895, Private
9896, Private
9897, Private
9898, Private
9899, Private
9900, Private
9901, Private
9902, Private
9903, Private
9904, Private
9905, Private
9906, Private
9907, ?
9908, Private
9909, Private
9910, Private
9911, Private
9912, Private
9913, Private
9914, Private
9915, Private
9916, Private
9917, Self-emp-not-inc
9918, Private
9919, Self-emp-inc
9920, Self-emp-not-inc
9921, Private
9922, Private
9923, Private
9924, Private
9925, Private
9926, ?
9927, ?
9928, Self-emp-not-inc
9929, Local-gov
9930, Private
9931, Federal-gov
9932, Self-emp-not-inc
9933, Private
9934, Private
9935, Private
9936, Self-emp-not-inc
9937, Self-emp-inc
9938, ?
9939, Federal-gov
9940, Private
9941, Self-emp-not-inc
9942, Private
9943, Private
9944, Private
9945, Private
9946, Private
9947, Private
9948, Self-emp-not-inc
9949, Private
9950, Private
9951, State-gov
9952, State-gov
9953, Self-emp-not-inc
9954, Private
9955, Self-emp-not-inc
9956, Private
9957, Private
9958, Self-emp-inc
9959, Private
9960, Private
9961, Private
9962, Private
9963, Private
9964, Private
9965, Private
9966, Private
9967, Private
9968, Private
9969, Private
9970, Private
9971, Private
9972, Local-gov
9973, Private
9974, Local-gov
9975, Private
9976, Private
9977, Private
9978, Private
9979, Local-gov
9980, Private
9981, Private
9982, Private
9983, Private
9984, Private
9985, Private
9986, State-gov
9987, ?
9988, Private
9989, Private
9990, Private
9991, State-gov
9992, Private
9993, Private
9994, Self-emp-not-inc
9995, Private
9996, Private
9997, Private
9998, Private
9999, Private
10000, Private
10001, Private
10002, Private
10003, Self-emp-inc
10004, Private
10005, Private
10006, Private
10007, State-gov
10008, Private
10009, Private
10010, Private
10011, Private
10012, Private
10013, ?
10014, Private
10015, ?
10016, ?
10017, Local-gov
10018, Private
10019, Private
10020, Private
10021, Private
10022, Private
10023, Private
10024, Private
10025, Local-gov
10026, Private
10027, Private
10028, Private
10029, Private
10030, Private
10031, Private
10032, Private
10033, Private
10034, Private
10035, ?
10036, Self-emp-inc
10037, Private
10038, Private
10039, Private
10040, Private
10041, Local-gov
10042, Self-emp-inc
10043, Private
10044, Private
10045, Private
10046, Local-gov
10047, Private
10048, Federal-gov
10049, Private
10050, Federal-gov
10051, Self-emp-inc
10052, Private
10053, Self-emp-not-inc
10054, Private
10055, State-gov
10056, ?
10057, Self-emp-not-inc
10058, Private
10059, Private
10060, Private
10061, Private
10062, Private
10063, Private
10064, ?
10065, Private
10066, Private
10067, Private
10068, Self-emp-not-inc
10069, Private
10070, Private
10071, Local-gov
10072, Private
10073, Private
10074, Private
10075, Private
10076, Private
10077, Private
10078, Private
10079, Private
10080, Private
10081, Private
10082, Private
10083, Self-emp-not-inc
10084, Private
10085, Private
10086, Self-emp-not-inc
10087, Private
10088, Private
10089, Federal-gov
10090, Private
10091, State-gov
10092, State-gov
10093, Private
10094, ?
10095, Private
10096, Self-emp-not-inc
10097, Private
10098, ?
10099, Private
10100, Self-emp-inc
10101, Private
10102, ?
10103, Private
10104, Private
10105, Private
10106, Private
10107, Private
10108, Private
10109, Private
10110, ?
10111, Private
10112, Private
10113, Private
10114, State-gov
10115, Private
10116, Private
10117, ?
10118, Private
10119, State-gov
10120, Private
10121, Private
10122, Local-gov
10123, Private
10124, Self-emp-not-inc
10125, Self-emp-not-inc
10126, ?
10127, Private
10128, Private
10129, Private
10130, Private
10131, Private
10132, Self-emp-not-inc
10133, Private
10134, Private
10135, Private
10136, Self-emp-not-inc
10137, Private
10138, Private
10139, ?
10140, Private
10141, Private
10142, Private
10143, ?
10144, Self-emp-inc
10145, Private
10146, Private
10147, Private
10148, Private
10149, Private
10150, Private
10151, Local-gov
10152, Private
10153, Private
10154, Private
10155, Private
10156, Private
10157, Private
10158, Private
10159, Private
10160, Private
10161, ?
10162, Private
10163, Private
10164, Private
10165, Private
10166, State-gov
10167, Private
10168, Private
10169, Private
10170, Private
10171, Private
10172, Self-emp-inc
10173, Self-emp-not-inc
10174, Private
10175, Self-emp-not-inc
10176, Private
10177, Private
10178, Private
10179, Self-emp-inc
10180, Private
10181, Private
10182, Private
10183, Self-emp-not-inc
10184, Self-emp-not-inc
10185, Self-emp-not-inc
10186, Private
10187, Private
10188, Local-gov
10189, Self-emp-not-inc
10190, Private
10191, Local-gov
10192, Private
10193, Federal-gov
10194, Private
10195, Private
10196, Private
10197, Private
10198, Private
10199, Private
10200, Private
10201, Private
10202, Private
10203, Self-emp-inc
10204, Private
10205, Private
10206, Private
10207, Self-emp-not-inc
10208, Private
10209, Private
10210, Self-emp-not-inc
10211, State-gov
10212, Self-emp-not-inc
10213, Private
10214, Self-emp-not-inc
10215, Private
10216, Private
10217, Private
10218, Self-emp-not-inc
10219, Private
10220, Private
10221, Private
10222, ?
10223, Self-emp-not-inc
10224, Private
10225, Private
10226, Private
10227, State-gov
10228, State-gov
10229, Private
10230, Private
10231, Self-emp-not-inc
10232, ?
10233, Private
10234, Private
10235, Private
10236, State-gov
10237, Private
10238, Private
10239, Private
10240, Private
10241, Private
10242, Private
10243, Self-emp-not-inc
10244, Private
10245, Private
10246, Private
10247, Private
10248, Private
10249, Private
10250, Private
10251, Private
10252, Private
10253, ?
10254, Private
10255, Self-emp-not-inc
10256, Private
10257, Private
10258, Self-emp-inc
10259, Private
10260, Self-emp-not-inc
10261, State-gov
10262, Private
10263, Private
10264, Private
10265, Private
10266, Self-emp-inc
10267, Private
10268, Self-emp-inc
10269, Self-emp-not-inc
10270, Private
10271, Private
10272, Private
10273, Private
10274, Private
10275, Private
10276, Private
10277, Private
10278, Private
10279, Private
10280, Self-emp-inc
10281, Private
10282, Private
10283, Private
10284, Federal-gov
10285, Private
10286, Federal-gov
10287, Self-emp-not-inc
10288, Self-emp-inc
10289, Private
10290, Private
10291, Private
10292, Private
10293, Private
10294, Private
10295, Private
10296, Private
10297, Private
10298, Local-gov
10299, Private
10300, Private
10301, Private
10302, Private
10303, Private
10304, Private
10305, Private
10306, Private
10307, Private
10308, Private
10309, Private
10310, Private
10311, Private
10312, Private
10313, Federal-gov
10314, Private
10315, Private
10316, State-gov
10317, Private
10318, Federal-gov
10319, Private
10320, Private
10321, Private
10322, Private
10323, Private
10324, State-gov
10325, Private
10326, Private
10327, Self-emp-not-inc
10328, ?
10329, Private
10330, Private
10331, State-gov
10332, Private
10333, Local-gov
10334, Self-emp-not-inc
10335, Private
10336, State-gov
10337, Private
10338, Private
10339, Private
10340, Private
10341, Private
10342, ?
10343, Self-emp-not-inc
10344, Self-emp-not-inc
10345, Private
10346, Private
10347, Self-emp-not-inc
10348, Private
10349, Private
10350, Private
10351, Private
10352, Private
10353, Private
10354, Private
10355, Federal-gov
10356, Private
10357, Private
10358, Private
10359, Private
10360, Self-emp-not-inc
10361, ?
10362, Private
10363, Private
10364, State-gov
10365, Self-emp-not-inc
10366, Private
10367, Private
10368, Private
10369, Private
10370, Private
10371, Private
10372, Private
10373, Self-emp-not-inc
10374, Private
10375, Private
10376, Private
10377, Self-emp-inc
10378, Private
10379, Local-gov
10380, Private
10381, Private
10382, State-gov
10383, Private
10384, Private
10385, Local-gov
10386, Self-emp-not-inc
10387, Private
10388, Private
10389, Private
10390, Private
10391, Private
10392, Private
10393, Self-emp-not-inc
10394, Private
10395, Local-gov
10396, State-gov
10397, Private
10398, Private
10399, Private
10400, Private
10401, Private
10402, Private
10403, Private
10404, Private
10405, Private
10406, Private
10407, Private
10408, Private
10409, Private
10410, Self-emp-not-inc
10411, ?
10412, Private
10413, Private
10414, Private
10415, Private
10416, Private
10417, Private
10418, Private
10419, Private
10420, Private
10421, Private
10422, Federal-gov
10423, Self-emp-not-inc
10424, Private
10425, ?
10426, Private
10427, Private
10428, Private
10429, Self-emp-inc
10430, Private
10431, Self-emp-not-inc
10432, Self-emp-inc
10433, Private
10434, State-gov
10435, Private
10436, Local-gov
10437, ?
10438, Self-emp-inc
10439, Private
10440, ?
10441, Private
10442, Private
10443, Self-emp-not-inc
10444, Self-emp-inc
10445, Local-gov
10446, Federal-gov
10447, Private
10448, Private
10449, Private
10450, Local-gov
10451, Private
10452, Local-gov
10453, Self-emp-not-inc
10454, Private
10455, Private
10456, Private
10457, Private
10458, Self-emp-not-inc
10459, Private
10460, ?
10461, Private
10462, Private
10463, Private
10464, Private
10465, Private
10466, State-gov
10467, Private
10468, Self-emp-not-inc
10469, Private
10470, Self-emp-not-inc
10471, Private
10472, Private
10473, Private
10474, Private
10475, ?
10476, Private
10477, Private
10478, Private
10479, Private
10480, Local-gov
10481, Private
10482, Self-emp-inc
10483, Private
10484, Private
10485, ?
10486, ?
10487, Private
10488, Private
10489, Federal-gov
10490, Private
10491, Private
10492, Private
10493, Local-gov
10494, Private
10495, Private
10496, Private
10497, Private
10498, Self-emp-not-inc
10499, Self-emp-not-inc
10500, Federal-gov
10501, Private
10502, Private
10503, Self-emp-not-inc
10504, Private
10505, Private
10506, Private
10507, Private
10508, Private
10509, Private
10510, Private
10511, Private
10512, Private
10513, Private
10514, Private
10515, Federal-gov
10516, Private
10517, Private
10518, Private
10519, Private
10520, Local-gov
10521, Self-emp-inc
10522, Self-emp-not-inc
10523, Private
10524, Private
10525, Private
10526, State-gov
10527, State-gov
10528, Private
10529, Private
10530, Local-gov
10531, Private
10532, Private
10533, Private
10534, Private
10535, State-gov
10536, Private
10537, Private
10538, Private
10539, ?
10540, Self-emp-not-inc
10541, Private
10542, Private
10543, Private
10544, Private
10545, Private
10546, ?
10547, Private
10548, Private
10549, Private
10550, Private
10551, Private
10552, Private
10553, Private
10554, Private
10555, Private
10556, Private
10557, Private
10558, Private
10559, Private
10560, Private
10561, Private
10562, Private
10563, State-gov
10564, Federal-gov
10565, Self-emp-not-inc
10566, Private
10567, Federal-gov
10568, Local-gov
10569, Local-gov
10570, ?
10571, Private
10572, Private
10573, State-gov
10574, Private
10575, Private
10576, Private
10577, Private
10578, Self-emp-inc
10579, Private
10580, Self-emp-inc
10581, ?
10582, Private
10583, Private
10584, Private
10585, Private
10586, Private
10587, Private
10588, Private
10589, Local-gov
10590, Private
10591, Private
10592, Private
10593, Private
10594, Private
10595, Private
10596, State-gov
10597, State-gov
10598, Private
10599, Private
10600, Private
10601, Private
10602, Private
10603, Private
10604, Private
10605, Self-emp-not-inc
10606, Private
10607, Private
10608, State-gov
10609, Federal-gov
10610, Federal-gov
10611, Private
10612, Federal-gov
10613, Private
10614, Local-gov
10615, Local-gov
10616, State-gov
10617, Private
10618, Private
10619, Private
10620, Private
10621, Private
10622, Private
10623, State-gov
10624, Private
10625, Self-emp-inc
10626, Private
10627, Self-emp-not-inc
10628, Private
10629, Local-gov
10630, Private
10631, Private
10632, State-gov
10633, Private
10634, Self-emp-not-inc
10635, Federal-gov
10636, Private
10637, Private
10638, Private
10639, Private
10640, Private
10641, Private
10642, Private
10643, Private
10644, Private
10645, Private
10646, Private
10647, Local-gov
10648, Private
10649, Private
10650, Private
10651, Self-emp-not-inc
10652, Local-gov
10653, Private
10654, Local-gov
10655, Private
10656, Private
10657, Local-gov
10658, Private
10659, Local-gov
10660, Federal-gov
10661, Private
10662, Private
10663, Private
10664, Private
10665, Private
10666, State-gov
10667, Private
10668, State-gov
10669, Private
10670, Private
10671, Private
10672, Self-emp-not-inc
10673, ?
10674, Private
10675, Private
10676, Private
10677, Private
10678, Self-emp-not-inc
10679, ?
10680, Private
10681, ?
10682, Local-gov
10683, ?
10684, ?
10685, Private
10686, Private
10687, Private
10688, Self-emp-inc
10689, Private
10690, Private
10691, Federal-gov
10692, Local-gov
10693, Private
10694, State-gov
10695, Federal-gov
10696, Private
10697, State-gov
10698, Private
10699, Private
10700, ?
10701, Private
10702, Private
10703, State-gov
10704, ?
10705, Private
10706, Private
10707, Self-emp-not-inc
10708, Federal-gov
10709, ?
10710, Private
10711, Private
10712, Federal-gov
10713, Private
10714, Private
10715, ?
10716, Private
10717, Private
10718, ?
10719, Private
10720, Private
10721, Private
10722, Private
10723, Private
10724, Private
10725, Private
10726, Self-emp-not-inc
10727, Private
10728, Private
10729, Local-gov
10730, Federal-gov
10731, Local-gov
10732, Self-emp-not-inc
10733, Private
10734, Private
10735, Private
10736, Private
10737, Private
10738, Private
10739, Private
10740, Local-gov
10741, Private
10742, Private
10743, Private
10744, Private
10745, ?
10746, ?
10747, Private
10748, Private
10749, Local-gov
10750, Private
10751, Private
10752, Local-gov
10753, Private
10754, State-gov
10755, Private
10756, Private
10757, Private
10758, Private
10759, Private
10760, Federal-gov
10761, Private
10762, Self-emp-inc
10763, Private
10764, Private
10765, Private
10766, Private
10767, Private
10768, Private
10769, Private
10770, Private
10771, Self-emp-inc
10772, Self-emp-not-inc
10773, Private
10774, Local-gov
10775, Private
10776, Self-emp-inc
10777, Private
10778, Private
10779, Private
10780, Local-gov
10781, Self-emp-not-inc
10782, Private
10783, Private
10784, ?
10785, Private
10786, Private
10787, Private
10788, Private
10789, Private
10790, Private
10791, Private
10792, Private
10793, Private
10794, Private
10795, Local-gov
10796, Private
10797, Private
10798, Federal-gov
10799, Local-gov
10800, State-gov
10801, Private
10802, Private
10803, Private
10804, Private
10805, ?
10806, Private
10807, Private
10808, State-gov
10809, Private
10810, Private
10811, Private
10812, Private
10813, Private
10814, Private
10815, Federal-gov
10816, Private
10817, Private
10818, Private
10819, Self-emp-not-inc
10820, ?
10821, Private
10822, Self-emp-inc
10823, Private
10824, Private
10825, Private
10826, Private
10827, Private
10828, ?
10829, Private
10830, Private
10831, Private
10832, Private
10833, Private
10834, Private
10835, Private
10836, Private
10837, ?
10838, Private
10839, Private
10840, State-gov
10841, Private
10842, Self-emp-not-inc
10843, Private
10844, Private
10845, Never-worked
10846, State-gov
10847, Private
10848, Private
10849, Private
10850, Private
10851, Private
10852, Private
10853, Private
10854, Private
10855, Local-gov
10856, ?
10857, Private
10858, Private
10859, Local-gov
10860, Private
10861, Private
10862, Local-gov
10863, Private
10864, Private
10865, Private
10866, Self-emp-inc
10867, Private
10868, Local-gov
10869, Private
10870, Private
10871, Private
10872, Private
10873, Local-gov
10874, Private
10875, Private
10876, Private
10877, Private
10878, Private
10879, Private
10880, Private
10881, ?
10882, Private
10883, Private
10884, Private
10885, Private
10886, Private
10887, Private
10888, Private
10889, State-gov
10890, Private
10891, Self-emp-not-inc
10892, Private
10893, Private
10894, Private
10895, State-gov
10896, Private
10897, Private
10898, Private
10899, Private
10900, State-gov
10901, Private
10902, Private
10903, Private
10904, Federal-gov
10905, Private
10906, Self-emp-inc
10907, Private
10908, Private
10909, Self-emp-not-inc
10910, Private
10911, Private
10912, Private
10913, Private
10914, Private
10915, Private
10916, Private
10917, Self-emp-inc
10918, Private
10919, State-gov
10920, Private
10921, Private
10922, Self-emp-not-inc
10923, Private
10924, Private
10925, Private
10926, Private
10927, Self-emp-not-inc
10928, Private
10929, Private
10930, Private
10931, ?
10932, ?
10933, Local-gov
10934, Private
10935, Private
10936, Private
10937, Private
10938, Private
10939, Private
10940, Private
10941, Private
10942, Local-gov
10943, State-gov
10944, Private
10945, Private
10946, Private
10947, Local-gov
10948, Private
10949, Private
10950, Private
10951, Private
10952, Private
10953, Self-emp-not-inc
10954, Local-gov
10955, ?
10956, Private
10957, Private
10958, Federal-gov
10959, ?
10960, Private
10961, Private
10962, Private
10963, Local-gov
10964, Self-emp-inc
10965, Private
10966, Self-emp-not-inc
10967, Private
10968, Private
10969, Private
10970, Private
10971, Private
10972, Private
10973, Private
10974, Private
10975, Private
10976, Self-emp-not-inc
10977, Self-emp-not-inc
10978, Private
10979, Federal-gov
10980, Private
10981, Private
10982, Private
10983, Self-emp-not-inc
10984, Self-emp-not-inc
10985, Private
10986, Private
10987, Private
10988, Private
10989, Local-gov
10990, Private
10991, Private
10992, Private
10993, Private
10994, Private
10995, ?
10996, State-gov
10997, Private
10998, Private
10999, Private
11000, Private
11001, ?
11002, Private
11003, Private
11004, Private
11005, State-gov
11006, Private
11007, Private
11008, Federal-gov
11009, Private
11010, Private
11011, Federal-gov
11012, Private
11013, Private
11014, Local-gov
11015, Private
11016, Private
11017, Private
11018, Private
11019, Private
11020, Private
11021, Private
11022, Private
11023, Federal-gov
11024, Private
11025, Private
11026, Private
11027, ?
11028, Local-gov
11029, Private
11030, Self-emp-not-inc
11031, Private
11032, Private
11033, Private
11034, Private
11035, Private
11036, Local-gov
11037, Private
11038, Private
11039, ?
11040, Self-emp-not-inc
11041, State-gov
11042, Private
11043, Private
11044, State-gov
11045, Private
11046, ?
11047, Private
11048, Private
11049, Private
11050, Private
11051, Private
11052, Private
11053, Private
11054, Private
11055, Private
11056, ?
11057, Private
11058, Private
11059, ?
11060, Local-gov
11061, Self-emp-inc
11062, Private
11063, Private
11064, Private
11065, Private
11066, Private
11067, Local-gov
11068, Private
11069, Self-emp-not-inc
11070, Private
11071, Private
11072, Self-emp-inc
11073, Self-emp-not-inc
11074, Private
11075, Local-gov
11076, Private
11077, Local-gov
11078, Private
11079, Private
11080, Private
11081, Private
11082, Private
11083, Local-gov
11084, Private
11085, ?
11086, Private
11087, ?
11088, Self-emp-not-inc
11089, Private
11090, Private
11091, Private
11092, Private
11093, Private
11094, Private
11095, Private
11096, Private
11097, Private
11098, Local-gov
11099, ?
11100, Private
11101, Self-emp-not-inc
11102, Private
11103, Private
11104, Private
11105, Private
11106, Private
11107, Private
11108, Private
11109, Private
11110, Private
11111, Private
11112, Private
11113, Private
11114, Self-emp-not-inc
11115, Private
11116, Self-emp-inc
11117, Private
11118, Private
11119, Private
11120, Federal-gov
11121, Private
11122, Private
11123, Federal-gov
11124, Self-emp-not-inc
11125, Private
11126, Private
11127, Local-gov
11128, Local-gov
11129, Private
11130, Private
11131, Private
11132, State-gov
11133, Private
11134, Private
11135, Local-gov
11136, Self-emp-not-inc
11137, Private
11138, Self-emp-inc
11139, Private
11140, Private
11141, Private
11142, Self-emp-not-inc
11143, Private
11144, Private
11145, Private
11146, Federal-gov
11147, Private
11148, Private
11149, Private
11150, Private
11151, Private
11152, Private
11153, Private
11154, Private
11155, Private
11156, Private
11157, Private
11158, ?
11159, ?
11160, Private
11161, Private
11162, Private
11163, Private
11164, ?
11165, Private
11166, Private
11167, Private
11168, Private
11169, Private
11170, Private
11171, Private
11172, Private
11173, Private
11174, Private
11175, Private
11176, Private
11177, Private
11178, Private
11179, Local-gov
11180, Private
11181, Self-emp-not-inc
11182, Private
11183, Private
11184, State-gov
11185, Private
11186, Private
11187, Private
11188, Private
11189, Private
11190, Private
11191, Local-gov
11192, ?
11193, Private
11194, Private
11195, Self-emp-inc
11196, Private
11197, Private
11198, ?
11199, State-gov
11200, Federal-gov
11201, Self-emp-inc
11202, Private
11203, Self-emp-inc
11204, Private
11205, Private
11206, Federal-gov
11207, Private
11208, Private
11209, Private
11210, Self-emp-not-inc
11211, Self-emp-not-inc
11212, Private
11213, Private
11214, Private
11215, Private
11216, Private
11217, ?
11218, State-gov
11219, Self-emp-inc
11220, Private
11221, Local-gov
11222, Self-emp-not-inc
11223, Private
11224, Private
11225, Private
11226, Local-gov
11227, Self-emp-not-inc
11228, ?
11229, Private
11230, Self-emp-inc
11231, Private
11232, Private
11233, Private
11234, ?
11235, Private
11236, Private
11237, Private
11238, Self-emp-inc
11239, Self-emp-not-inc
11240, Self-emp-not-inc
11241, Private
11242, Local-gov
11243, Private
11244, Private
11245, Self-emp-inc
11246, Federal-gov
11247, Private
11248, Private
11249, Private
11250, Private
11251, Private
11252, Private
11253, Private
11254, Private
11255, Private
11256, Private
11257, Private
11258, Private
11259, Private
11260, Private
11261, ?
11262, Self-emp-not-inc
11263, Private
11264, Private
11265, Private
11266, Private
11267, Private
11268, Private
11269, Federal-gov
11270, Private
11271, Private
11272, Private
11273, Self-emp-not-inc
11274, Private
11275, Private
11276, Private
11277, Private
11278, Private
11279, Private
11280, Self-emp-not-inc
11281, Private
11282, Private
11283, Self-emp-inc
11284, Private
11285, Private
11286, ?
11287, State-gov
11288, Private
11289, Private
11290, Self-emp-not-inc
11291, Private
11292, Private
11293, Private
11294, ?
11295, Private
11296, Private
11297, Private
11298, Private
11299, Self-emp-inc
11300, Private
11301, Private
11302, Private
11303, Private
11304, Private
11305, Private
11306, Private
11307, Private
11308, Local-gov
11309, Private
11310, Private
11311, Private
11312, Private
11313, Private
11314, State-gov
11315, Private
11316, ?
11317, Private
11318, Private
11319, Private
11320, Self-emp-inc
11321, Self-emp-not-inc
11322, State-gov
11323, Self-emp-not-inc
11324, Private
11325, Self-emp-not-inc
11326, Private
11327, Federal-gov
11328, ?
11329, Federal-gov
11330, Private
11331, Private
11332, Private
11333, Local-gov
11334, ?
11335, Private
11336, State-gov
11337, Private
11338, Private
11339, Private
11340, ?
11341, State-gov
11342, Private
11343, Self-emp-not-inc
11344, Private
11345, Private
11346, ?
11347, Private
11348, Private
11349, Private
11350, Self-emp-not-inc
11351, Self-emp-inc
11352, Self-emp-inc
11353, Private
11354, Local-gov
11355, ?
11356, Private
11357, Private
11358, State-gov
11359, Private
11360, Private
11361, Private
11362, Self-emp-not-inc
11363, Private
11364, Self-emp-inc
11365, Private
11366, State-gov
11367, Private
11368, Private
11369, Private
11370, Private
11371, Private
11372, Private
11373, Private
11374, Private
11375, State-gov
11376, Federal-gov
11377, Private
11378, Private
11379, Private
11380, Self-emp-not-inc
11381, State-gov
11382, Federal-gov
11383, Private
11384, Private
11385, Private
11386, Private
11387, Self-emp-inc
11388, Private
11389, Private
11390, Self-emp-not-inc
11391, ?
11392, Private
11393, Local-gov
11394, Private
11395, Private
11396, Private
11397, Self-emp-inc
11398, Private
11399, Private
11400, Private
11401, Private
11402, Private
11403, Private
11404, Private
11405, Private
11406, Private
11407, Private
11408, Private
11409, Federal-gov
11410, Private
11411, Private
11412, Private
11413, ?
11414, Private
11415, Private
11416, Federal-gov
11417, Private
11418, Private
11419, State-gov
11420, Private
11421, ?
11422, Private
11423, Private
11424, Private
11425, Private
11426, Local-gov
11427, Private
11428, Federal-gov
11429, Self-emp-not-inc
11430, ?
11431, Private
11432, Private
11433, Private
11434, Private
11435, Federal-gov
11436, Private
11437, Private
11438, Private
11439, Private
11440, Private
11441, Private
11442, Private
11443, Private
11444, Private
11445, Private
11446, Self-emp-not-inc
11447, Private
11448, Private
11449, Private
11450, Federal-gov
11451, Private
11452, Private
11453, Private
11454, Private
11455, Private
11456, Private
11457, Federal-gov
11458, Private
11459, Private
11460, ?
11461, Private
11462, Private
11463, Private
11464, Private
11465, Private
11466, Private
11467, Self-emp-not-inc
11468, Local-gov
11469, State-gov
11470, Private
11471, Private
11472, Local-gov
11473, Private
11474, ?
11475, Local-gov
11476, Private
11477, Private
11478, Local-gov
11479, Self-emp-not-inc
11480, Private
11481, State-gov
11482, Private
11483, Private
11484, ?
11485, Private
11486, Private
11487, State-gov
11488, State-gov
11489, Private
11490, Private
11491, Private
11492, Private
11493, Private
11494, Federal-gov
11495, Private
11496, Private
11497, Private
11498, Private
11499, Private
11500, ?
11501, Private
11502, Private
11503, Private
11504, Private
11505, Private
11506, Self-emp-not-inc
11507, Private
11508, Private
11509, Private
11510, State-gov
11511, Private
11512, Private
11513, Private
11514, Private
11515, Private
11516, ?
11517, Private
11518, Local-gov
11519, Private
11520, Local-gov
11521, Private
11522, Private
11523, Private
11524, Private
11525, Private
11526, ?
11527, Private
11528, Private
11529, Self-emp-inc
11530, Self-emp-inc
11531, Local-gov
11532, ?
11533, Private
11534, Private
11535, Self-emp-not-inc
11536, Self-emp-not-inc
11537, Private
11538, Private
11539, Private
11540, Private
11541, Local-gov
11542, Local-gov
11543, Private
11544, ?
11545, Private
11546, Private
11547, Private
11548, Local-gov
11549, Private
11550, ?
11551, Private
11552, Local-gov
11553, State-gov
11554, State-gov
11555, Private
11556, Private
11557, Private
11558, Private
11559, Private
11560, Self-emp-not-inc
11561, State-gov
11562, Private
11563, Private
11564, Private
11565, Self-emp-inc
11566, Self-emp-not-inc
11567, Private
11568, Private
11569, Private
11570, Private
11571, Private
11572, Private
11573, ?
11574, Private
11575, Private
11576, Private
11577, Private
11578, ?
11579, Private
11580, ?
11581, Private
11582, Private
11583, Private
11584, Private
11585, State-gov
11586, Private
11587, Private
11588, Private
11589, Private
11590, Self-emp-not-inc
11591, ?
11592, Private
11593, Local-gov
11594, Private
11595, Private
11596, Federal-gov
11597, Local-gov
11598, Private
11599, Private
11600, Private
11601, Private
11602, Private
11603, Private
11604, Private
11605, Private
11606, Private
11607, Private
11608, Private
11609, Local-gov
11610, Private
11611, Private
11612, Private
11613, Private
11614, ?
11615, Private
11616, Private
11617, Self-emp-inc
11618, Private
11619, Private
11620, Self-emp-not-inc
11621, ?
11622, Private
11623, Private
11624, Local-gov
11625, Local-gov
11626, Private
11627, Private
11628, Self-emp-not-inc
11629, Private
11630, Federal-gov
11631, Private
11632, Private
11633, Private
11634, Private
11635, Private
11636, Private
11637, Private
11638, Private
11639, Private
11640, Private
11641, Private
11642, Private
11643, Private
11644, Private
11645, Private
11646, Local-gov
